FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	10000	3000	8100	48100
2	2	10080	3024	8104	48105
3	3	10240	3072	8112	48128
4	4	10752	3584	8128	48640
6	5	11264	4096	8192	49152
7	6	11776	4608	8704	49664
8	7	12288	4864	8960	49920
	8	12800	4992	9088	50048
	15	13312	5056	9120	50112
	16	13824	5088	9122	50144
	22	14336	5096	9123	50146
	23	14848	5097		50147
		14976			
		15040			
		15072			
		15088			
		15096			
		15098			
		15099			
