# ACTS Test Suite Generation: Sat Sep 26 20:39:43 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 173
# Number of configurations: 21815
mbap_transaction,mbap_protocol,mbap_len,mbap_slave
2,509,253,4
2,510,254,5
2,511,255,6
2,512,256,7
2,513,257,8
2,514,258,9
2,515,259,10
2,516,260,11
2,517,261,12
2,1019,262,13
2,1021,263,14
2,1022,264,15
2,1023,265,16
2,1024,1021,17
2,1025,1022,18
2,1026,1023,19
2,1027,1024,20
2,1028,1025,21
2,1029,1026,27
2,2041,1027,28
2,2042,1458,29
2,2043,1459,30
2,2044,1460,31
2,2045,1461,32
2,2046,1462,33
2,2047,2045,34
2,2048,2046,35
2,2049,2047,36
2,2050,2048,37
2,2051,2049,59
2,2052,2050,60
2,4091,2051,61
2,4092,2052,62
2,4093,4092,63
2,4094,4093,64
2,4095,4094,65
2,4096,4095,66
2,4097,4096,67
2,4098,4097,68
2,4099,4098,69
2,4100,4099,123
2,4101,8190,124
2,8187,8191,125
2,8188,8192,126
2,8189,8193,127
2,8190,8194,128
2,8191,8195,129
2,8192,32764,130
2,8193,32765,131
2,8194,32766,132
2,8195,32767,133
2,8196,32768,251
2,8197,32769,252
2,16379,32770,253
2,16380,32771,254
2,16381,32772,255
2,16382,32773,0
2,16383,65530,1
2,16384,65531,2
2,16385,65532,3
2,16386,65533,4
2,16387,65534,5
2,16388,65535,6
2,16389,0,7
2,32763,1,8
2,32764,2,9
2,32765,3,10
2,32766,4,11
2,32767,5,12
2,32768,6,13
2,32769,7,14
2,32770,8,15
2,32771,9,16
2,32772,10,17
2,32773,11,18
2,65280,12,19
2,65530,13,20
2,65531,14,21
2,65532,15,27
2,65533,16,28
2,65534,32,29
2,65535,64,30
3,0,124,31
3,1,125,32
3,2,126,33
3,3,127,34
3,4,128,35
3,5,129,36
3,6,251,37
3,7,252,59
3,8,253,60
3,9,254,61
3,10,255,62
3,31,256,63
3,32,257,64
3,33,258,65
3,34,259,66
3,61,260,67
3,62,261,68
3,63,262,69
3,64,263,123
3,65,264,124
3,66,265,125
3,67,1021,126
3,68,1022,127
3,69,1023,128
3,125,1024,129
3,126,1025,130
3,127,1026,131
3,128,1027,132
3,129,1458,133
3,130,1459,251
3,131,1460,252
3,251,1461,253
3,252,1462,254
3,253,2045,255
3,254,2046,0
3,255,2047,1
3,256,2048,2
3,257,2049,3
3,258,2050,4
3,259,2051,5
3,260,2052,6
3,261,4092,8
3,507,4093,7
3,508,4094,10
3,509,4095,11
3,510,4096,12
3,511,4097,13
3,512,4098,14
3,513,4099,15
3,514,8190,16
3,515,8191,17
3,516,8192,18
3,517,8193,19
3,1019,8194,20
3,1021,8195,21
3,1022,32764,27
3,1023,32765,28
3,1024,32766,29
3,1025,32767,30
3,1026,32768,9
3,1027,32769,32
3,1028,32770,33
3,1029,32771,34
3,2041,32772,35
3,2042,32773,36
