# ACTS Test Suite Generation: Wed Mar 18 20:57:37 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 192
# Number of configurations: 35140
quan,byte_count,num_value
0,1,0
0,2,1
0,3,2
0,4,3
0,5,4
0,6,5
0,7,6
0,8,7
0,9,8
0,10,9
0,11,10
0,12,11
0,13,12
0,14,13
0,15,14
0,16,15
0,17,16
0,18,17
0,19,18
0,20,19
0,21,20
0,27,21
0,28,27
0,29,28
0,30,29
0,31,30
0,32,31
0,33,32
0,34,33
0,35,34
0,36,35
0,37,36
0,59,37
0,60,59
0,61,60
0,62,61
0,63,62
0,64,63
0,65,64
0,66,65
0,67,66
0,68,67
0,69,68
0,123,69
0,124,123
0,125,124
0,126,125
0,127,126
0,128,127
0,129,128
0,130,129
0,131,130
0,132,131
0,133,132
0,251,133
0,252,243
0,253,244
0,254,245
0,255,246
0,1,247
0,2,248
0,3,249
0,4,250
0,5,251
0,6,252
0,7,253
0,8,254
0,9,255
0,10,256
0,11,257
0,12,258
0,13,259
0,14,260
0,15,261
0,16,507
0,17,508
0,18,509
0,19,510
0,20,511
0,21,512
0,27,513
0,28,514
0,29,515
0,30,516
0,31,517
0,32,1019
0,33,1020
0,34,1021
0,35,1022
0,36,1023
0,37,1024
0,59,1025
0,60,1026
0,61,1027
0,62,1028
0,63,1029
0,64,1436
0,65,1437
0,66,1438
0,67,1439
0,68,1440
0,69,1441
0,123,1442
0,124,1443
0,125,1444
0,126,1445
0,127,1446
0,128,1447
0,129,1448
0,130,1449
0,131,1450
0,132,1451
0,133,1452
0,251,1453
0,252,1454
0,253,1455
0,254,1456
0,255,1457
0,1,1458
0,2,1459
0,3,2043
0,4,2044
0,5,2045
0,6,2046
0,7,2047
0,8,2048
0,9,2049
0,10,2050
0,11,2051
0,12,2052
0,13,2053
0,14,4091
0,15,4092
0,16,4093
0,17,4094
0,18,4095
0,19,4096
0,20,4097
0,21,4098
0,27,4099
0,28,4100
0,29,4101
0,30,5000
0,31,8187
0,32,8188
0,33,8189
0,34,8190
0,35,8191
0,36,8192
0,37,8193
0,59,8194
0,60,8195
0,61,8196
0,62,8197
0,63,10000
0,64,16379
0,65,16380
0,66,16381
0,67,16382
0,68,16383
0,69,16384
0,123,16385
0,124,16386
0,125,16387
0,126,16388
0,127,16389
0,128,20000
0,129,32763
0,130,32764
0,131,32765
0,132,32766
0,133,32767
0,251,32768
0,252,32769
0,253,32770
0,254,32771
0,255,32772
0,1,32773
0,2,65533
0,3,65534
0,4,65535
0,5,65536
0,6,65537
1,7,0
1,0,1
1,8,2
1,9,3
1,10,4
1,11,5
1,12,6
1,13,7
1,14,8
1,15,9
1,16,10
1,17,11
1,18,12
1,19,13
1,20,14
1,21,15
1,27,16
1,28,17
1,29,18
1,30,19
1,31,20
1,32,21
1,33,27
1,34,28
1,35,29
1,36,30
1,37,31
1,59,32
1,60,33
1,61,34
1,62,35
1,63,36
1,64,37
1,65,59
1,66,60
1,67,61
1,68,62
1,69,63
1,123,64
1,124,65
1,125,66
1,126,67
1,127,68
1,128,69
1,129,123
1,130,124
1,131,125
1,132,126
1,133,127
1,251,128
1,252,129
1,253,130
1,254,131
1,255,132
1,2,133
1,3,243
1,4,244
1,5,245
1,6,246
1,0,247
1,0,248
1,0,249
1,7,250
1,8,251
1,9,252
1,10,253
1,11,254
1,12,255
1,13,256
1,14,257
1,15,258
1,16,259
1,17,260
1,18,261
1,19,507
1,20,508
1,21,509
1,27,510
1,28,511
