# ACTS Test Suite Generation: Wed Mar 18 21:14:49 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 165
# Number of configurations: 14202
quan_write,byte_count,num_value
4,0,16383
4,4,16385
4,5,16387
4,6,16389
4,7,32763
4,9,32765
4,10,32767
4,11,32769
4,12,32771
4,13,32773
4,14,65531
4,15,65533
4,16,65535
5,8,1
5,17,3
5,18,5
5,19,7
5,20,9
5,21,11
5,27,13
5,28,15
5,29,17
5,30,19
5,31,21
5,32,27
5,33,29
5,34,31
5,35,33
5,36,35
5,37,37
5,59,59
5,60,61
5,61,63
5,62,65
5,63,67
5,64,69
5,65,111
5,66,113
5,67,115
5,68,117
5,69,119
5,123,121
5,124,123
5,125,125
5,126,127
5,127,129
5,128,131
5,129,133
5,130,251
5,131,253
5,132,255
5,133,257
5,251,259
5,252,261
5,253,507
5,254,509
5,255,511
5,0,513
5,1,515
5,2,517
5,3,1019
5,4,1021
5,5,1023
5,6,1025
5,7,1027
5,9,1029
5,11,2043
5,12,2045
5,13,2047
5,14,2049
5,15,2051
5,16,2053
5,8,4091
5,17,4093
5,18,4095
5,19,4097
5,20,4099
5,21,4101
5,27,8187
5,28,8189
5,29,8191
5,30,8193
5,31,8195
5,32,8197
5,33,16379
5,34,16381
5,35,16383
5,36,16385
5,37,16387
5,59,16389
5,60,32763
5,61,32765
5,62,32767
5,63,32769
5,64,32771
5,65,32773
5,66,65531
5,67,65533
5,68,65535
6,69,1
6,123,3
6,124,5
6,125,7
6,126,9
6,127,11
6,128,13
6,129,15
6,130,17
6,131,19
6,132,21
6,133,27
6,251,29
6,252,31
6,253,33
6,254,35
6,255,37
6,0,59
6,1,61
6,2,63
6,3,65
6,4,67
6,8,69
6,10,111
6,11,113
6,13,115
6,14,117
6,15,119
6,16,121
6,17,123
6,18,125
6,19,127
6,20,129
6,21,131
6,27,133
6,28,251
6,29,253
6,30,255
6,31,257
6,32,259
6,33,261
6,34,507
6,35,509
6,36,511
6,37,513
6,59,515
6,60,517
6,61,1019
6,62,1021
6,63,1023
6,64,1025
6,65,1027
6,66,1029
6,67,2043
6,68,2045
6,5,2047
6,6,2049
6,7,2051
6,9,2053
6,10,4091
6,69,4093
6,123,4095
6,124,4097
6,125,4099
6,126,4101
6,127,8187
6,128,8189
6,129,8191
6,130,8193
6,131,8195
6,132,8197
6,133,16379
6,251,16381
6,252,16383
6,253,16385
6,254,16387
6,255,16389
6,0,32763
6,1,32765
6,2,32767
6,3,32769
6,4,32771
6,8,32773
6,9,65531
6,10,65533
6,11,65535
7,12,1
7,13,3
7,15,5
7,16,7
7,17,9
7,18,11
7,19,13
7,20,15
7,21,17
7,27,19
7,28,21
7,29,27
7,30,29
7,31,31
7,32,33
7,33,35
7,34,37
7,35,59
7,36,61
7,37,63
7,59,65
7,60,67
7,61,69
7,62,111
7,63,113
7,64,115
7,65,117
7,66,119
7,67,121
7,68,123
7,69,125
7,123,127
7,124,129
7,125,131
7,126,133
7,127,251
7,128,253
7,129,255
7,130,257
7,131,259
7,132,261
7,133,507
7,251,509
7,252,511
7,253,513
7,254,515
7,255,517
7,0,1019
7,1,1021
7,2,1023
7,3,1025
7,4,1027
7,5,1029
7,6,2043
7,7,2045
7,8,2047
7,9,2049
7,10,2051
7,11,2053
7,12,4091
7,13,4093
7,15,4095
7,16,4097
7,17,4099
7,18,4101
7,19,8187
7,20,8189
7,21,8191
7,27,8193
7,28,8195
7,29,8197
7,30,16379
7,31,16381
7,32,16383
7,33,16385
7,34,16387
7,35,16389
7,36,32763
7,37,32765
7,59,32767
7,60,32769
7,61,32771
7,62,32773
7,63,65531
7,64,65533
7,65,65535
8,14,1
8,66,3
8,67,5
8,68,7
8,69,9
8,123,11
8,124,13
8,125,15
8,126,17
8,127,19
8,128,21
8,129,27
8,130,29
8,131,31
8,132,33
8,133,35
8,251,37
8,252,59
8,253,61
8,254,63
8,255,65
8,0,67
8,1,69
8,2,111
8,3,113
8,4,115
8,5,117
8,6,119
8,7,121
8,8,123
8,12,125
8,13,127
8,15,129
8,17,131
8,18,133
8,19,251
8,20,253
8,21,255
8,27,257
8,28,259
8,29,261
8,30,507
8,31,509
8,32,511
8,33,513
8,34,515
8,35,517
8,36,1019
8,37,1021
8,59,1023
8,60,1025
8,61,1027
8,62,1029
8,63,2043
8,64,2045
8,65,2047
8,10,2049
8,11,2051
8,14,2053
8,9,4091
8,12,4093
8,14,4095
8,66,4097
8,67,4099
8,68,4101
8,69,8187
8,123,8189
8,124,8191
8,125,8193
8,126,8195
8,127,8197
8,128,16379
8,129,16381
8,130,16383
8,131,16385
8,132,16387
8,133,16389
8,251,32763
8,252,32765
8,253,32767
8,254,32769
8,255,32771
8,0,32773
8,1,65531
8,2,65533
8,3,65535
9,5,1
9,6,3
9,7,5
9,8,7
9,16,9
9,4,11
9,9,13
9,10,15
9,11,17
9,12,19
9,13,21
9,14,27
9,15,29
9,17,31
9,19,33
9,20,35
9,21,37
9,27,59
9,28,61
9,29,63
9,30,65
9,31,67
9,32,69
9,33,111
9,34,113
9,35,115
9,36,117
9,37,119
9,59,121
9,60,123
9,61,125
9,62,127
9,63,129
9,64,131
9,65,133
9,66,251
9,67,253
9,68,255
9,69,257
9,123,259
9,124,261
9,125,507
9,126,509
9,127,511
9,128,513
9,129,515
9,130,517
9,131,1019
9,132,1021
9,133,1023
9,251,1025
9,252,1027
9,253,1029
9,254,2043
9,255,2045
9,0,2047
9,1,2049
9,2,2051
9,3,2053
9,5,4091
9,6,4093
9,7,4095
9,8,4097
9,16,4099
9,4,4101
9,5,8187
9,6,8189
9,7,8191
9,8,8193
9,9,8195
9,10,8197
9,11,16379
9,12,16381
9,13,16383
9,14,16385
9,15,16387
9,16,16389
9,17,32763
9,19,32765
9,20,32767
9,21,32769
9,27,32771
9,28,32773
9,29,65531
9,30,65533
9,31,65535
10,18,1
10,32,3
10,33,5
10,34,7
10,35,9
10,36,11
10,37,13
10,59,15
10,60,17
10,61,19
10,62,21
10,63,27
10,64,29
10,65,31
10,66,33
10,67,35
10,68,37
10,69,59
10,123,61
10,124,63
10,125,65
10,126,67
10,127,69
10,128,111
10,129,113
10,130,115
10,131,117
10,132,119
10,133,121
10,251,123
10,252,125
10,253,127
10,254,129
10,255,131
10,0,133
10,1,251
10,2,253
10,3,255
10,4,257
10,5,259
10,6,261
10,7,507
10,8,509
10,9,511
10,10,513
10,11,515
10,12,517
10,13,1019
10,14,1021
10,15,1023
10,16,1025
10,17,1027
10,19,1029
10,21,2043
10,27,2045
10,28,2047
10,29,2049
10,30,2051
10,31,2053
10,18,4091
10,32,4093
10,33,4095
10,34,4097
10,35,4099
10,36,4101
10,37,8187
10,59,8189
10,60,8191
10,61,8193
10,62,8195
10,63,8197
10,64,16379
10,65,16381
10,66,16383
10,67,16385
10,68,16387
10,69,16389
10,123,32763
10,124,32765
10,125,32767
10,126,32769
10,127,32771
10,128,32773
10,129,65531
10,130,65533
10,131,65535
11,132,1
11,133,3
11,251,5
11,252,7
11,253,9
11,254,11
11,255,13
11,0,15
11,1,17
11,2,19
11,3,21
11,4,27
11,18,29
11,20,31
11,21,33
11,27,35
11,28,37
11,29,59
11,30,61
11,31,63
11,32,65
11,33,67
11,34,69
11,35,111
11,36,113
11,37,115
11,59,117
11,60,119
11,61,121
11,62,123
11,63,125
11,64,127
11,65,129
11,66,131
11,67,133
11,68,251
11,69,253
11,123,255
11,124,257
11,125,259
11,126,261
11,127,507
11,128,509
11,129,511
11,130,513
11,131,515
11,5,517
11,6,1019
11,7,1021
11,8,1023
11,9,1025
11,10,1027
11,11,1029
11,12,2043
11,13,2045
11,14,2047
11,15,2049
11,16,2051
11,17,2053
11,19,4091
11,20,4093
11,132,4095
11,133,4097
11,251,4099
11,252,4101
11,253,8187
11,254,8189
11,255,8191
11,0,8193
11,1,8195
11,2,8197
11,3,16379
11,4,16381
11,18,16383
11,19,16385
11,20,16387
11,21,16389
11,27,32763
11,28,32765
11,29,32767
11,30,32769
11,31,32771
11,32,32773
11,33,65531
11,34,65533
11,35,65535
12,36,1
12,37,3
12,59,5
12,60,7
12,61,9
12,62,11
12,63,13
12,64,15
12,65,17
12,66,19
12,67,21
12,68,27
12,69,29
12,123,31
12,124,33
12,125,35
12,126,37
12,127,59
12,128,61
12,129,63
12,130,65
12,131,67
12,132,69
12,133,111
12,251,113
12,252,115
12,253,117
12,254,119
12,255,121
12,0,123
12,1,125
12,2,127
12,3,129
12,4,131
12,5,133
12,6,251
12,7,253
12,8,255
12,9,257
12,10,259
12,11,261
12,12,507
12,13,509
12,14,511
12,15,513
12,16,515
12,17,517
12,18,1019
12,19,1021
12,20,1023
12,21,1025
12,27,1027
12,28,1029
12,29,2043
12,30,2045
12,31,2047
12,32,2049
12,33,2051
12,34,2053
12,35,4091
12,36,4093
12,37,4095
12,59,4097
12,60,4099
12,61,4101
12,62,8187
12,63,8189
12,64,8191
12,65,8193
12,66,8195
12,67,8197
12,68,16379
12,69,16381
12,123,16383
12,124,16385
12,125,16387
12,126,16389
12,127,32763
12,128,32765
12,129,32767
12,130,32769
12,131,32771
12,132,32773
12,133,65531
12,251,65533
12,252,65535
13,253,1
13,254,3
13,255,5
13,0,7
13,1,9
13,2,11
13,3,13
13,4,15
13,5,17
13,6,19
13,7,21
13,8,27
13,9,29
13,10,31
13,11,33
13,12,35
13,13,37
13,14,59
13,15,61
13,16,63
13,17,65
13,18,67
13,19,69
13,20,111
13,21,113
13,27,115
13,28,117
13,29,119
13,30,121
13,31,123
13,32,125
13,33,127
13,34,129
13,35,131
13,36,133
13,37,251
13,59,253
13,60,255
13,61,257
13,62,259
13,63,261
13,64,507
13,65,509
