FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	2	0	0
2	2	512	3	512	512
3	3	1024	4	1024	768
4	4	1536	6	1536	896
6	5	2048	8	2048	960
	6	2560	12	2560	992
	15	3072	16	3072	996
	16	3584	24	3584	998
	17	3840	32	4096	999
	23	3968	48	4352	
		3984	64	4360	
		3992	96	4364	
		3996	128	4366	
		3998	192	4367	
		3999	256		
			384		
			512		
			1024		
			1536		
			1792		
			1920		
			1984		
			2016		
			2032		
			2040		
			2044		
			2046		
			2047		
