FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	1792	2048	2048
	6	2560	1920	2560	2560
	11	3072	1984	3072	3072
	15	3584	2016	3584	3584
	16	3840	2032	4096	4096
	17	3968	2040	4352	4608
	21	3984	2044	4360	5120
	23	3992	2046	4364	5632
	43	3996	2047	4366	6144
		3998		4367	6208
		3999			6216
					6220
					6222
					6223
