FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	1792	1792	2048
	6	2560	1920	1920	2560
	11	3072	1984	1984	3072
	15	3584	2016	1992	3584
	16	4096	2032	1996	4096
	17	4608	2040	1998	4608
	21	5120	2044	1999	4864
	23	5124	2046		4992
	43		2047		4996
					4998
					4999
