# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
1,133,65527,32769,65531,29
2,16,65528,65471,65532,29
3,132,65529,65472,65533,29
4,255,65530,65473,65534,29
5,0,65531,65503,65535,29
6,1,65532,65504,0,29
7,2,65533,65505,1,29
8,3,65534,65519,2,29
9,4,65535,65520,3,29
10,6,0,65521,4,29
11,31,1,65527,5,29
12,32,2,65528,7,29
13,33,3,65529,8,29
14,34,4,65530,9,29
15,35,5,65531,15,29
16,36,7,65532,16,29
17,37,8,65533,17,29
18,59,9,65534,31,29
19,60,10,65535,32,29
20,61,11,0,33,31
21,66,12,1,63,31
27,67,13,2,64,31
28,68,14,3,65,31
29,69,15,4,116,31
30,123,16,5,117,31
31,124,17,7,118,31
32,125,31,8,119,31
33,126,32,9,120,31
34,127,33,15,121,31
35,128,63,16,122,31
36,129,64,17,123,31
37,251,65,31,124,31
59,252,127,32,125,31
60,253,128,33,126,31
61,254,129,63,127,31
62,255,255,64,128,31
63,0,256,65,129,31
64,8,257,127,255,31
65,9,511,128,256,31
66,10,512,129,257,31
67,11,513,255,511,31
68,12,1023,256,512,31
69,13,1024,257,513,31
123,14,1025,511,1023,31
124,16,2047,512,1024,31
125,21,2048,513,1025,31
126,27,2049,1023,2047,31
127,28,4095,1024,2048,31
128,29,4096,1025,2049,31
129,30,4097,2047,4095,31
130,64,8191,2048,4096,31
131,65,8192,2049,4097,31
132,15,8193,4095,8191,31
133,18,10000,4096,8192,31
251,19,16383,4097,8193,31
252,20,16384,8191,16383,31
253,131,16385,8192,16384,31
254,130,32767,8193,16385,31
255,133,32768,9993,32767,31
0,31,32769,9994,32768,31
1,63,65471,9995,32769,31
2,17,65472,9996,65471,31
3,34,65473,9997,65472,31
4,132,65503,9998,65473,31
5,32,65504,9999,65503,31
6,5,65505,10000,65504,31
7,6,65519,10001,65505,31
8,7,65520,10002,65519,31
9,35,65521,10003,65520,31
10,36,65527,10004,65521,31
11,37,65528,16383,65527,31
12,59,65529,16384,65528,31
13,1,65530,16385,65529,31
14,3,65531,32767,65530,31
15,60,65532,32768,65531,31
16,62,65533,32769,65532,31
17,63,65534,65471,65533,31
18,66,65535,65472,65534,31
19,4,0,65473,65535,31
20,33,1,65503,0,31
21,69,2,65504,1,31
27,123,3,65505,2,31
28,125,4,65519,3,31
29,2,5,65520,4,31
30,9,7,65521,5,31
31,10,8,65527,7,31
32,11,9,65528,8,31
33,12,10,65529,9,31
34,13,11,65530,15,31
35,14,12,65531,16,31
36,15,13,65532,17,31
37,16,14,65533,31,31
59,17,15,65534,32,31
60,20,16,65535,33,31
61,21,17,0,63,33
62,27,31,1,64,33
63,28,32,2,65,33
64,29,33,3,116,33
65,30,63,4,117,33
66,126,64,5,118,33
67,127,65,7,119,33
68,128,127,8,120,33
69,129,128,9,121,33
123,130,129,15,122,33
124,132,255,16,123,33
125,133,256,17,124,33
126,0,257,31,125,33
127,7,511,32,126,33
128,8,512,33,127,33
129,18,513,63,128,33
130,19,1023,64,129,33
131,64,1024,65,255,33
132,65,1025,127,256,33
133,67,2047,128,257,33
251,68,2048,129,511,33
252,124,2049,255,512,33
253,61,4095,256,513,33
254,62,4096,257,1023,33
255,63,4097,511,1024,33
0,123,8191,512,1025,33
1,11,8192,513,2047,33
2,131,8193,1023,2048,33
3,251,10000,1024,2049,33
4,252,16383,1025,4095,33
5,253,16384,2047,4096,33
6,254,16385,2048,4097,33
7,20,32767,2049,8191,33
8,33,32768,4095,8192,33
9,255,32769,4096,8193,33
10,2,65471,4097,16383,33
11,4,65472,8191,16384,33
12,5,65473,8192,16385,33
13,31,65503,8193,32767,33
14,59,65504,9993,32768,33
15,69,65505,9994,32769,33
16,125,65519,9995,65471,33
17,3,65520,9996,65472,33
18,36,65521,9997,65473,33
19,34,65527,9998,65503,33
20,35,65528,9999,65504,33
21,37,65529,10000,65505,33
27,60,65530,10001,65519,33
28,66,65531,10002,65520,33
29,17,65532,10003,65521,33
30,18,65533,10004,65527,33
31,12,65534,16383,65528,33
32,13,65535,16384,65529,33
33,32,0,16385,65530,33
34,6,1,32767,65531,33
35,9,2,32768,65532,33
36,10,3,32769,65533,33
37,1,4,65471,65534,33
59,7,5,65472,65535,33
60,14,7,65473,0,33
61,16,8,65503,1,33
62,15,9,65504,2,33
63,27,10,65505,3,33
64,28,11,65519,4,33
65,29,12,65520,5,33
66,30,13,65521,7,33
67,64,14,65527,8,33
68,65,15,65528,9,33
69,253,16,65529,15,33
123,254,17,65530,16,33
124,255,31,65531,17,33
125,0,32,65532,31,33
126,61,33,65533,32,33
127,124,63,65534,33,33
128,5,64,65535,63,33
129,8,65,0,64,35
130,127,127,1,65,35
131,128,128,2,116,35
132,129,129,3,117,35
133,68,255,4,118,35
251,132,256,5,119,35
252,19,257,7,120,35
253,21,511,8,121,35
254,27,512,9,122,35
255,126,513,15,123,35
0,2,1023,16,124,35
1,67,1024,17,125,35
2,252,1025,31,126,35
3,130,2047,32,127,35
4,131,2048,33,128,35
5,133,2049,63,129,35
6,251,4095,64,255,35
7,254,4096,65,256,35
8,255,4097,127,257,35
9,5,8191,128,511,35
10,16,8192,129,512,35
11,17,8193,255,513,35
12,35,10000,256,1023,35
13,36,16383,257,1024,35
14,37,16384,511,1025,35
15,59,16385,512,2047,35
16,60,32767,513,2048,35
17,61,32768,1023,2049,35
18,62,32769,1024,4095,35
19,65,65471,1025,4096,35
20,0,65472,2047,4097,35
21,1,65473,2048,8191,35
27,3,65503,2049,8192,35
28,4,65504,4095,8193,35
29,9,65505,4096,16383,35
30,10,65519,4097,16384,35
31,11,65520,8191,16385,35
32,12,65521,8192,32767,35
33,13,65527,8193,32768,35
34,14,65528,9993,32769,35
35,18,65529,9994,65471,35
36,20,65530,9995,65472,35
37,28,65531,9996,65473,35
59,29,65532,9997,65503,35
60,30,65533,9998,65504,35
61,31,65534,9999,65505,35
62,32,65535,10000,65519,35
63,33,0,10001,65520,35
64,34,1,10002,65521,35
65,64,2,10003,65527,35
66,253,3,10004,65528,35
67,63,4,16383,65529,35
68,6,5,16384,65530,35
69,7,7,16385,65531,35
123,15,8,32767,65532,35
124,123,9,32768,65533,35
125,124,10,32769,65534,35
126,125,11,65471,65535,35
127,126,12,65472,0,35
128,66,13,65473,1,35
129,67,14,65503,2,35
130,68,15,65504,3,35
131,69,16,65505,4,35
132,123,17,65519,5,35
133,127,31,65520,7,35
251,128,32,65521,8,35
252,129,33,65527,9,35
253,130,63,65528,15,35
254,19,64,65529,16,35
255,20,65,65530,17,35
0,8,127,65531,31,35
1,21,128,65532,32,35
3,131,129,65533,33,35
4,133,255,65534,63,35
5,251,256,65535,64,35
6,252,257,0,65,37
7,253,511,1,116,37
8,132,512,2,117,37
9,133,513,3,118,37
2,251,1023,4,119,37
3,254,1024,5,120,37
4,12,1025,7,121,37
11,36,2047,8,122,37
12,37,2048,9,123,37
13,59,2049,15,124,37
14,66,4095,16,125,37
15,68,4096,17,126,37
16,69,4097,31,127,37
17,127,8191,32,128,37
18,128,8192,33,129,37
19,255,8193,63,255,37
20,4,10000,64,256,37
21,6,16383,65,257,37
27,7,16384,127,511,37
28,8,16385,128,512,37
29,15,32767,129,513,37
30,16,32768,255,1023,37
31,17,32769,256,1024,37
32,18,65471,257,1025,37
33,19,65472,511,2047,37
34,21,65473,512,2048,37
35,27,65503,513,2049,37
36,28,65504,1023,4095,37
37,29,65505,1024,4096,37
59,30,65519,1025,4097,37
60,31,65520,2047,8191,37
61,32,65521,2048,8192,37
62,33,65527,2049,8193,37
63,34,65528,4095,16383,37
64,35,65529,4096,16384,37
65,125,65530,4097,16385,37
66,131,65531,8191,32767,37
67,2,65532,8192,32768,37
68,3,65533,8193,32769,37
69,9,65534,9993,65471,37
123,10,65535,9994,65472,37
124,11,0,9995,65473,37
125,62,1,9996,65503,37
126,63,2,9997,65504,37
127,64,3,9998,65505,37
128,67,4,9999,65519,37
129,124,5,10000,65520,37
130,0,7,10001,65521,37
131,5,8,10002,65527,37
132,61,9,10003,65528,37
133,126,10,10004,65529,37
251,129,11,16383,65530,37
252,130,12,16384,65531,37
253,65,13,16385,65532,37
254,13,14,32767,65533,37
255,14,15,32768,65534,37
0,1,16,32769,65535,37
1,60,17,65471,0,37
10,20,31,65472,1,37
5,132,32,65473,2,37
6,123,33,65503,3,37
7,252,63,65504,4,37
8,253,64,65505,5,37
2,255,65,65519,7,37
3,10,127,65520,8,37
4,14,128,65521,9,37
10,18,129,65527,15,37
11,21,255,65528,16,37
12,27,256,65529,17,37
13,28,257,65530,31,37
14,29,511,65531,32,37
15,30,512,65532,33,37
16,31,513,65533,63,37
17,32,1023,65534,64,37
18,33,1024,65535,65,37
19,35,1025,0,116,59
20,37,2047,1,117,59
21,59,2048,2,118,59
27,128,2049,3,119,59
28,129,4095,4,120,59
29,130,4096,5,121,59
30,131,4097,7,122,59
31,254,8191,8,123,59
32,6,8192,9,124,59
33,7,8193,15,125,59
34,12,10000,16,126,59
35,15,16383,17,127,59
36,16,16384,31,128,59
37,17,16385,32,129,59
59,69,32767,33,255,59
60,124,32768,63,256,59
61,125,32769,64,257,59
62,126,65471,65,511,59
63,127,65472,127,512,59
64,0,65473,128,513,59
65,1,65503,129,1023,59
66,2,65504,255,1024,59
67,3,65505,256,1025,59
68,5,65519,257,2047,59
69,36,65520,511,2048,59
123,63,65521,512,2049,59
124,64,65527,513,4095,59
125,67,65528,1023,4096,59
126,68,65529,1024,4097,59
127,9,65530,1025,8191,59
128,13,65531,2047,8192,59
129,34,65532,2048,8193,59
130,60,65533,2049,16383,59
131,66,65534,4095,16384,59
132,19,65535,4096,16385,59
133,65,0,4097,32767,59
251,8,1,8191,32768,59
252,61,2,8192,32769,59
253,133,3,8193,65471,59
254,251,4,9993,65472,59
255,252,5,9994,65473,59
0,4,7,9995,65503,59
1,29,8,9996,65504,59
2,30,9,9997,65505,59
3,62,10,9998,65519,59
4,123,11,9999,65520,59
9,132,12,10000,65521,59
10,253,13,10001,65527,59
11,255,14,10002,65528,59
12,18,15,10003,65529,59
13,21,16,10004,65530,59
14,27,17,16383,65531,59
15,28,31,16384,65532,59
16,33,32,16385,65533,59
17,11,33,32767,65534,59
18,31,63,32768,65535,59
5,32,64,32769,0,59
6,34,65,65471,1,59
7,35,127,65472,2,59
8,20,128,65473,3,59
9,36,129,65503,4,59
20,14,255,65504,5,59
21,15,256,65505,7,59
27,16,257,65519,8,59
28,17,511,65520,9,59
29,37,512,65521,15,59
30,60,513,65527,16,59
31,61,1023,65528,17,59
32,62,1024,65529,31,59
33,10,1025,65530,32,59
34,11,2047,65531,33,59
35,12,2048,65532,63,59
36,13,2049,65533,64,59
37,69,4095,65534,65,59
59,124,4096,65535,116,59
60,125,4097,0,117,61
61,6,8191,1,118,61
62,7,8192,2,119,61
63,8,8193,3,120,61
64,59,10000,4,121,61
65,129,16383,5,122,61
66,130,16384,7,123,61
67,132,16385,8,124,61
68,133,32767,9,125,61
69,251,32768,15,126,61
123,252,32769,16,127,61
124,9,65471,17,128,61
125,63,65472,31,129,61
126,65,65473,32,255,61
127,66,65503,33,256,61
128,68,65504,63,257,61
129,0,65505,64,511,61
130,2,65519,65,512,61
131,4,65520,127,513,61
132,126,65521,128,1023,61
133,128,65527,129,1024,61
251,5,65528,255,1025,61
252,64,65529,256,2047,61
253,127,65530,257,2048,61
254,10,65531,511,2049,61
255,11,65532,512,4095,61
0,12,65533,513,4096,61
1,13,65534,1023,4097,61
2,67,65535,1024,8191,61
3,253,0,1025,8192,61
4,254,1,2047,8193,61
5,131,2,2048,16383,61
6,255,3,2049,16384,61
7,16,4,4095,16385,61
19,1,5,4096,32767,61
20,3,7,4097,32768,61
21,36,8,8191,32769,61
27,37,9,8192,65471,61
28,61,10,8193,65472,61
29,19,11,9993,65473,61
30,20,12,9994,65503,61
31,21,13,9995,65504,61
32,27,14,9996,65505,61
33,124,15,9997,65519,61
34,28,16,9998,65520,61
35,29,17,9999,65521,61
36,30,31,10000,65527,61
37,31,32,10001,65528,61
59,32,33,10002,65529,61
11,34,63,10003,65530,61
12,62,64,10004,65531,61
13,60,65,16383,65532,61
14,64,127,16384,65533,61
15,67,128,16385,65534,61
16,68,129,32767,65535,61
17,69,255,32768,0,61
18,123,256,32769,1,61
19,18,257,65471,2,61
60,15,511,65472,3,61
61,33,512,65473,4,61
10,35,513,65503,5,61
8,17,1023,65504,7,61
9,66,1024,65505,8,61
63,126,1025,65519,9,61
64,129,2047,65520,15,61
65,130,2048,65521,16,61
66,14,2049,65527,17,61
67,19,4095,65528,31,61
68,132,4096,65529,32,61
69,252,4097,65530,33,61
123,9,8191,65531,63,61
124,59,8192,65532,64,61
125,65,8193,65533,65,61
126,2,10000,65534,116,61
127,4,16383,65535,117,61
128,127,16384,0,118,63
129,5,16385,1,119,63
130,6,32767,2,120,63
131,7,32768,3,121,63
132,8,32769,4,122,63
133,125,65471,5,123,63
251,126,65472,7,124,63
252,131,65473,8,125,63
253,2,65503,9,126,63
254,3,65504,15,127,63
255,4,65505,16,128,63
0,251,65519,17,129,63
1,10,65520,31,255,63
2,11,65521,32,256,63
3,12,65527,33,257,63
4,1,65528,63,511,63
5,254,65529,64,512,63
6,128,65530,65,513,63
7,133,65531,127,1023,63
8,18,65532,128,1024,63
9,0,65533,129,1025,63
62,29,65534,255,2047,63
63,30,65535,256,2048,63
64,31,0,257,2049,63
65,32,1,511,4095,63
66,33,2,512,4096,63
67,34,3,513,4097,63
68,35,4,1023,8191,63
69,63,5,1024,8192,63
123,64,7,1025,8193,63
124,67,8,2047,16383,63
125,68,9,2048,16384,63
126,69,10,2049,16385,63
127,14,11,4095,32767,63
10,27,12,4096,32768,63
11,28,13,4097,32769,63
12,65,14,8191,65471,63
13,66,15,8192,65472,63
14,255,16,8193,65473,63
15,129,17,9993,65503,63
16,130,31,9994,65504,63
17,253,32,9995,65505,63
18,9,33,9996,65519,63
19,13,63,9997,65520,63
20,16,64,9998,65521,63
21,17,65,9999,65527,63
27,36,127,10000,65528,63
28,37,128,10001,65529,63
29,59,129,10002,65530,63
30,124,255,10003,65531,63
31,19,256,10004,65532,63
32,21,257,16383,65533,63
33,61,511,16384,65534,63
34,20,512,16385,65535,63
35,132,513,32767,0,63
36,133,1023,32768,1,63
37,252,1024,32769,2,63
59,0,1025,65471,3,63
60,8,2047,65472,4,63
61,15,2048,65473,5,63
62,254,2049,65503,7,63
129,123,4095,65504,8,63
130,125,4096,65505,9,63
131,60,4097,65519,15,63
132,62,8191,65520,16,63
133,64,8192,65521,17,63
251,127,8193,65527,31,63
252,128,10000,65528,32,63
253,7,16383,65529,33,63
254,8,16384,65530,63,63
255,18,16385,65531,64,63
0,63,32767,65532,65,63
1,66,32768,65533,116,63
2,9,32769,65534,117,63
3,13,65471,65535,118,63
4,27,65472,0,119,65
5,31,65473,1,120,65
6,131,65503,2,121,65
7,0,65504,3,122,65
128,1,65505,4,123,65
129,3,65519,5,124,65
130,14,65520,7,125,65
131,15,65521,8,126,65
132,5,65527,9,127,65
133,6,65528,15,128,65
251,7,65529,16,129,65
252,34,65530,17,255,65
253,35,65531,31,256,65
254,36,65532,32,257,65
255,37,65533,33,511,65
0,67,65534,63,512,65
1,68,65535,64,513,65
2,69,0,65,1023,65
9,251,1,127,1024,65
10,252,2,128,1025,65
11,2,3,129,2047,65
12,20,4,255,2048,65
13,123,5,256,2049,65
14,124,7,257,4095,65
15,125,8,511,4096,65
16,126,9,512,4097,65
17,133,10,513,8191,65
18,254,11,1023,8192,65
19,12,12,1024,8193,65
20,62,13,1025,16383,65
21,63,14,2047,16384,65
27,129,15,2048,16385,65
28,130,16,2049,32767,65
29,132,17,4095,32768,65
30,59,31,4096,32769,65
31,60,32,4097,65471,65
32,64,33,8191,65472,65
33,65,63,8192,65473,65
34,66,64,8193,65503,65
35,253,65,9993,65504,65
36,255,127,9994,65505,65
37,10,128,9995,65519,65
59,11,129,9996,65520,65
60,32,255,9997,65521,65
61,29,256,9998,65527,65
62,30,257,9999,65528,65
63,16,511,10000,65529,65
64,17,512,10001,65530,65
65,33,513,10002,65531,65
66,4,1023,10003,65532,65
67,61,1024,10004,65533,65
68,127,1025,16383,65534,65
69,21,2047,16384,65535,65
123,28,2048,16385,0,65
124,19,2049,32767,1,65
125,131,4095,32768,2,65
126,13,4096,32769,3,65
127,3,4097,65471,4,65
128,12,8191,65472,5,65
129,128,8192,65473,7,65
8,129,8193,65503,8,65
9,130,10000,65504,9,65
11,132,16383,65505,15,65
3,18,16384,65519,16,65
4,251,16385,65520,17,65
5,252,32767,65521,31,65
6,253,32768,65527,32,65
7,15,32769,65528,33,65
8,16,65471,65529,63,65
18,29,65472,65530,64,65
19,30,65473,65531,65,65
20,6,65503,65532,116,65
21,7,65504,65533,117,65
27,8,65505,65534,118,65
28,9,65519,65535,119,65
29,67,65520,0,120,67
30,68,65521,1,121,67
31,69,65527,2,122,67
32,123,65528,3,123,67
33,127,65529,4,124,67
34,251,65530,5,125,67
35,20,65531,7,126,67
36,62,65532,8,127,67
37,63,65533,9,128,67
59,131,65534,15,129,67
60,254,65535,16,255,67
61,1,0,17,256,67
62,4,1,31,257,67
63,10,2,32,511,67
64,11,3,33,512,67
65,5,4,63,513,67
66,34,5,64,1023,67
67,35,7,65,1024,67
68,60,8,127,1025,67
69,6,9,128,2047,67
123,17,10,129,2048,67
124,65,11,255,2049,67
125,19,12,256,4095,67
126,255,13,257,4096,67
127,21,14,511,4097,67
128,27,15,512,8191,67
132,36,16,513,8192,67
133,37,17,1023,8193,67
251,14,31,1024,16383,67
252,32,32,1025,16384,67
253,33,33,2047,16385,67
254,59,63,2048,32767,67
255,61,64,2049,32768,67
0,125,65,4095,32769,67
1,126,127,4096,65471,67
2,0,128,4097,65472,67
13,128,129,8191,65473,67
14,28,255,8192,65503,67
15,252,256,8193,65504,67
16,124,257,9993,65505,67
17,132,511,9994,65519,67
130,31,512,9995,65520,67
131,12,513,9996,65521,67
12,3,1023,9997,65527,67
21,133,1024,9998,65528,67
10,129,1025,9999,65529,67
28,253,2047,10000,65530,67
11,1,2048,10001,65531,67
3,29,2049,10002,65532,67
4,30,4095,10003,65533,67
5,15,4096,10004,65534,67
6,16,4097,16383,65535,67
7,18,8191,16384,0,67
8,2,8192,16385,1,67
9,9,8193,32767,2,67
19,64,10000,32768,3,67
20,66,16383,32769,4,67
27,13,16384,65471,5,67
30,19,16385,65472,7,67
31,5,32767,65473,8,67
32,7,32768,65503,9,67
33,8,32769,65504,15,67
34,68,65471,65505,16,67
35,69,65472,65519,17,67
36,130,65473,65520,31,67
129,20,65503,65521,32,67
130,21,65504,65527,33,67
18,37,65505,65528,63,67
37,65,65519,65529,64,67
59,123,65520,65530,65,67
60,251,65521,65531,116,67
61,255,65527,65532,117,67
62,0,65528,65533,118,67
63,1,65529,65534,119,67
64,2,65530,65535,120,67
65,6,65531,0,121,69
66,28,65532,1,122,69
67,5,65533,2,123,69
68,17,65534,3,124,69
69,31,65535,4,125,69
123,61,0,5,126,69
124,63,1,7,127,69
125,3,2,8,128,69
126,14,3,9,129,69
127,33,4,15,255,69
128,37,5,16,256,69
132,59,7,17,257,69
133,131,8,31,511,69
251,27,9,32,512,69
252,127,10,33,513,69
253,11,11,63,1023,69
254,32,12,64,1024,69
255,124,13,65,1025,69
0,126,14,127,2047,69
1,128,15,128,2048,69
2,133,16,129,2049,69
10,251,17,255,4095,69
14,254,31,256,4096,69
15,8,32,257,4097,69
16,12,33,511,8191,69
17,19,63,512,8192,69
29,35,64,513,8193,69
131,36,65,1023,16383,69
12,60,127,1024,16384,69
13,4,128,1025,16385,69
27,62,129,2047,32767,69
28,65,255,2048,32768,69
35,34,256,2049,32769,69
36,123,257,4095,65471,69
37,30,511,4096,65472,69
59,253,512,4097,65473,69
60,2,513,8191,65503,69
61,20,1023,8192,65504,69
62,10,1024,8193,65505,69
129,125,1025,9993,65519,69
5,9,2047,9994,65520,69
6,18,2048,9995,65521,69
7,66,2049,9996,65527,69
8,67,4095,9997,65528,69
9,21,4096,9998,65529,69
32,130,4097,9999,65530,69
33,252,8191,10000,65531,69
34,132,8192,10001,65532,69
18,0,8193,10002,65533,69
19,5,10000,10003,65534,69
20,11,16383,10004,65535,69
21,255,16384,16383,0,69
3,68,16385,16384,1,69
4,29,32767,16385,2,69
64,36,32768,32767,3,69
30,7,32769,32768,4,69
31,27,65471,32769,5,69
130,28,65472,65471,7,69
63,59,65473,65472,8,69
11,69,65503,65473,9,69
12,127,65504,65503,15,69
13,13,65505,65504,16,69
14,129,65519,65505,17,69
15,1,65520,65519,31,69
16,15,65521,65520,32,69
17,16,65527,65521,33,69
124,17,65528,65527,63,69
125,31,65529,65528,64,69
126,32,65530,65529,65,69
127,61,65531,65530,116,69
128,64,65532,65531,117,69
132,125,65533,65532,118,69
133,4,65534,65533,119,69
251,11,65535,65534,120,69
252,62,0,65535,121,69
255,68,2,0,122,123
0,124,3,1,123,123
1,254,4,2,124,123
2,126,5,3,125,123
66,133,7,4,126,123
67,14,8,5,127,123
68,67,9,7,128,123
69,10,10,8,129,123
123,60,11,9,255,123
124,253,12,15,256,123
131,33,13,16,257,123
10,62,14,17,511,123
65,3,15,31,512,123
128,34,16,32,513,123
129,6,17,33,1023,123
29,131,31,63,1024,123
253,63,32,64,1025,123
254,125,33,65,2047,123
3,15,63,127,2048,123
4,17,64,128,2049,123
5,18,65,129,4095,123
6,19,127,255,4096,123
7,32,128,256,4097,123
8,37,129,257,8191,123
9,59,255,511,8192,123
20,65,256,512,8193,123
21,4,257,513,16383,123
27,1,511,1023,16384,123
28,2,512,1024,16385,123
33,28,513,1025,32767,123
34,29,1023,2047,32768,123
64,128,1024,2048,32769,123
125,7,1025,2049,65471,123
126,35,2047,4095,65472,123
127,5,2048,4096,65473,123
12,21,2049,4097,65503,123
17,255,4095,8191,65504,123
18,8,4096,8192,65505,123
19,123,4097,8193,65519,123
37,132,8191,9993,65520,123
59,251,8192,9994,65521,123
60,252,8193,9995,65527,123
61,0,10000,9996,65528,123
62,9,16383,9997,65529,123
63,12,16384,9998,65530,123
132,13,16385,9999,65531,123
133,27,32767,10000,65532,123
251,69,32768,10001,65533,123
252,16,32769,10002,65534,123
15,66,65471,10003,65535,123
16,30,65472,10004,0,123
30,61,65473,16383,1,123
130,11,65503,16384,2,123
35,129,65504,16385,3,123
36,31,65505,32767,4,123
66,36,65519,32768,5,123
11,63,65520,32769,7,123
14,20,65521,65471,8,123
13,67,65527,65472,9,123
31,64,65528,65473,15,123
32,126,65529,65503,16,123
67,131,65530,65504,17,123
68,14,65531,65505,31,123
69,127,65532,65519,32,123
123,35,65533,65520,33,123
255,36,65534,65521,63,123
0,128,65535,65527,64,123
1,130,0,65528,65,123
2,5,1,65529,116,123
29,6,2,65530,117,123
131,16,3,65531,118,123
10,28,4,65532,119,123
65,10,5,65533,120,123
254,20,7,65534,121,123
4,31,8,65535,122,123
253,60,9,0,123,125
254,33,10,1,124,125
255,34,11,2,125,125
0,35,12,3,126,125
1,9,13,4,127,125
2,10,14,5,128,125
3,30,15,7,129,125
7,63,16,8,255,125
8,64,17,9,256,125
9,65,31,15,257,125
20,124,32,16,511,125
21,131,33,17,512,125
27,133,63,31,513,125
28,254,64,32,1023,125
30,3,65,33,1024,125
31,4,127,63,1025,125
32,15,128,64,2047,125
33,27,129,65,2048,125
34,253,255,127,2049,125
37,7,256,128,4095,125
59,129,257,129,4096,125
61,130,511,255,4097,125
62,13,512,256,8191,125
63,14,513,257,8192,125
64,132,1023,511,8193,125
65,255,1024,512,16383,125
66,17,1025,513,16384,125
67,18,2047,1023,16385,125
68,19,2048,1024,32767,125
69,37,2049,1025,32768,125
123,1,4095,2047,32769,125
124,2,4096,2048,65471,125
251,28,4097,2049,65472,125
252,29,8191,4095,65473,125
11,252,8192,4096,65503,125
13,12,8193,4097,65504,125
14,32,10000,8191,65505,125
15,127,16383,8192,65519,125
16,128,16384,8193,65520,125
17,62,16385,9993,65521,125
18,68,32767,9994,65527,125
19,126,32768,9995,65528,125
29,251,32769,9996,65529,125
128,61,65471,9997,65530,125
129,11,65472,9998,65531,125
130,20,65473,9999,65532,125
131,21,65503,10000,65533,125
132,34,65504,10001,65534,125
133,59,65505,10002,65535,125
10,67,65519,10003,0,125
125,69,65520,10004,1,125
126,5,65521,16383,2,125
127,6,65527,16384,3,125
6,125,65528,16385,4,125
4,0,65529,32767,5,125
5,66,65530,32768,7,125
60,8,65531,32769,8,125
12,123,65532,65471,9,125
35,124,65533,65472,15,125
36,125,65534,65473,16,125
253,8,65535,65503,17,125
254,9,0,65504,31,125
255,16,1,65505,32,125
0,17,2,65519,33,125
1,18,3,65520,63,125
2,66,4,65521,64,125
3,67,5,65527,65,125
5,10,7,65528,116,125
6,21,8,65529,117,125
7,36,9,65530,118,125
8,59,10,65531,119,125
9,3,11,65532,120,125
18,63,12,65533,121,125
19,254,13,65534,122,125
20,133,14,65535,123,125
21,12,15,0,124,127
27,64,16,1,125,127
28,126,17,2,126,127
33,132,31,3,127,127
34,2,32,4,128,127
35,68,33,5,129,127
36,253,63,7,255,127
37,0,64,8,256,127
59,1,65,9,257,127
60,13,127,15,511,127
61,34,128,16,512,127
62,35,129,17,513,127
63,129,255,31,1023,127
64,4,256,32,1024,127
65,133,257,33,1025,127
66,60,511,63,2047,127
67,61,512,64,2048,127
68,62,513,65,2049,127
69,14,1023,127,4095,127
123,31,1024,128,4096,127
124,251,1025,129,4097,127
125,33,2047,255,8191,127
126,7,2048,256,8192,127
127,32,2049,257,8193,127
128,3,4095,511,16383,127
129,69,4096,512,16384,127
130,124,4097,513,16385,127
251,30,8191,1023,32767,127
252,123,8192,1024,32768,127
253,16,8193,1025,32769,127
13,127,10000,2047,65471,127
14,130,16383,2048,65472,127
15,131,16384,2049,65473,127
16,11,16385,4095,65503,127
32,65,32767,4096,65504,127
29,254,32768,4097,65505,127
254,6,32769,8191,65519,127
255,15,65471,8192,65520,127
0,37,65472,8193,65521,127
1,255,65473,9993,65527,127
10,19,65503,9994,65528,127
11,29,65504,9995,65529,127
12,128,65505,9996,65530,127
31,20,65519,9997,65531,127
5,125,65520,9998,65532,127
6,27,65521,9999,65533,127
30,63,65527,10000,65534,127
17,252,65528,10001,65535,127
9,17,65529,10002,0,127
2,18,65530,10003,1,127
3,59,65531,10004,2,127
4,33,65532,16383,3,127
19,129,65533,16384,4,127
18,130,65534,16385,5,127
131,28,65535,32767,7,127
132,67,0,32768,8,127
133,60,1,32769,9,127
7,66,2,65471,15,127
8,69,3,65472,16,127
20,123,4,65473,17,127
21,132,5,65503,31,127
27,5,7,65504,32,127
28,6,8,65505,33,127
29,10,9,65519,63,127
30,255,10,65520,64,127
31,8,11,65521,65,127
32,9,12,65527,116,127
33,36,13,65528,117,127
34,131,14,65529,118,127
35,0,15,65530,119,127
36,21,16,65531,120,127
37,32,17,65532,121,127
59,33,31,65533,122,127
60,34,32,65534,123,127
61,35,33,65535,124,127
62,3,63,0,125,129
63,4,64,1,126,129
64,12,65,2,127,129
65,15,127,3,128,129
67,27,128,4,129,129
68,252,129,5,255,129
69,60,255,7,256,129
123,37,256,8,257,129
124,29,257,9,511,129
125,14,511,15,512,129
126,64,512,16,513,129
127,13,513,17,1023,129
128,30,1023,31,1024,129
129,126,1024,32,1025,129
130,16,1025,33,2047,129
131,19,2047,63,2048,129
132,127,2048,64,2049,129
133,9,2049,65,4095,129
251,10,4095,127,4096,129
252,11,4096,128,4097,129
253,32,4097,129,8191,129
14,128,8191,255,8192,129
