# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
18,7,65527,10001,16383,5
19,8,65528,10002,16384,5
20,9,65529,10003,16385,5
21,10,65530,10004,32767,5
27,11,65531,16383,32768,5
28,12,65532,16384,32769,5
29,13,65533,16385,65471,5
30,14,65534,32767,65472,5
31,15,65535,32768,65473,5
32,16,0,32769,65503,5
33,17,1,65471,65504,5
34,18,2,65472,65505,5
35,19,3,65473,65519,5
36,3,4,65503,65520,5
37,61,5,65504,65521,5
59,62,7,65505,65527,5
60,63,8,65519,65528,5
61,64,9,65520,65529,5
62,65,10,65521,65530,5
63,66,11,65527,65531,5
64,67,12,65528,65532,5
65,68,13,65529,65533,5
66,69,14,65530,65534,5
67,123,15,65531,65535,5
68,124,16,65532,0,5
69,125,17,65533,1,5
123,126,31,65534,2,5
124,127,32,65535,3,5
125,128,33,0,4,7
126,129,63,1,5,7
127,130,64,2,7,7
128,131,65,3,8,7
129,132,127,4,9,7
130,133,128,5,15,7
131,251,129,7,16,7
132,252,255,8,17,7
133,253,256,9,31,7
251,254,257,15,32,7
252,255,511,16,33,7
253,0,512,17,63,7
254,1,513,31,64,7
255,59,1023,32,65,7
0,60,1024,33,116,7
1,61,1025,63,117,7
2,62,2047,64,118,7
3,63,2048,65,119,7
4,64,2049,127,120,7
5,65,4095,128,121,7
6,66,4096,129,122,7
7,67,4097,255,123,7
8,68,8191,256,124,7
9,69,8192,257,125,7
10,123,8193,511,126,7
11,124,10000,512,127,7
12,125,16383,513,128,7
13,126,16384,1023,129,7
14,127,16385,1024,255,7
15,2,32767,1025,256,7
16,3,32768,2047,257,7
17,4,32769,2048,511,7
18,5,65471,2049,512,7
19,6,65472,4095,513,7
20,7,65473,4096,1023,7
21,8,65503,4097,1024,7
27,9,65504,8191,1025,7
28,10,65505,8192,2047,7
29,11,65519,8193,2048,7
30,12,65520,9993,2049,7
31,13,65521,9994,4095,7
32,14,65527,9995,4096,7
33,15,65528,9996,4097,7
34,16,65529,9997,8191,7
35,17,65530,9998,8192,7
36,18,65531,9999,8193,7
37,19,65532,10000,16383,7
59,20,65533,10001,16384,7
60,21,65534,10002,16385,7
61,27,65535,10003,32767,7
62,28,0,10004,32768,7
63,29,1,16383,32769,7
64,30,2,16384,65471,7
65,31,3,16385,65472,7
66,32,4,32767,65473,7
67,33,5,32768,65503,7
68,34,7,32769,65504,7
69,35,8,65471,65505,7
123,36,9,65472,65519,7
124,37,10,65473,65520,7
125,59,11,65503,65521,7
126,60,12,65504,65527,7
127,131,13,65505,65528,7
128,132,14,65519,65529,7
129,133,15,65520,65530,7
130,251,16,65521,65531,7
131,252,17,65527,65532,7
132,253,31,65528,65533,7
133,254,32,65529,65534,7
251,255,33,65530,65535,7
252,0,63,65531,0,7
253,128,64,65532,1,7
254,129,65,65533,2,7
255,130,127,65534,3,7
0,131,128,65535,4,7
2,132,129,0,5,9
3,1,255,1,7,9
4,2,256,2,8,9
5,3,257,3,9,9
6,4,511,4,15,9
7,5,512,5,16,9
8,6,513,7,17,9
9,7,1023,8,31,9
10,8,1024,9,32,9
11,9,1025,15,33,9
12,10,2047,16,63,9
13,11,2048,17,64,9
14,12,2049,31,65,9
15,13,4095,32,116,9
16,14,4096,33,117,9
17,15,4097,63,118,9
18,16,8191,64,119,9
19,17,8192,65,120,9
20,18,8193,127,121,9
21,19,10000,128,122,9
27,20,16383,129,123,9
28,21,16384,255,124,9
29,27,16385,256,125,9
30,28,32767,257,126,9
31,29,32768,511,127,9
32,30,32769,512,128,9
33,31,65471,513,129,9
