FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	768	768	768	768
4	4	896	896	896	896
5	5	960	960	960	960
6	6	992	992	992	992
8	8	996	996	996	996
15	15	998	998	998	998
16	16	999	999	999	999
