FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	47999	2047	4095	31999
2	2	48000	2048	4096	32000
3	3	48011	2560	4608	32001
4	4	48034	2816	4864	32004
5	5	48128	2944	4992	32256
6	6	48640	3008	5056	32768
8	8	48896	3040	5088	32896
15	15	48960	3044	5092	32960
16	16	48992	3046	5094	32992
		48996			32996
		48998			32998
