1,1,1,0,0
2,2,2,0,1
3,3,3,0,2
4,4,4,0,3
5,5,5,0,4
6,6,7,0,5
7,7,8,0,7
8,8,9,0,8
9,9,10,0,9
10,10,11,0,15
11,11,12,0,16
12,12,13,0,17
13,13,14,0,31
14,14,15,0,32
15,15,16,0,33
16,16,17,0,63
17,17,31,0,64
18,18,32,0,65
19,19,33,0,116
20,20,63,0,117
21,21,64,0,118
27,27,65,0,119
28,28,127,0,120
29,29,128,0,121
30,30,129,0,122
31,31,255,0,123
32,32,256,0,124
33,33,257,0,125
34,34,511,0,126
35,35,512,0,127
36,36,513,0,128
37,37,1023,0,129
59,59,1024,0,255
60,60,1025,0,256
61,61,2047,0,257
62,62,2048,0,511
63,63,2049,0,512
64,64,4095,0,513
65,65,4096,0,1023
66,66,4097,0,1024
67,67,8191,0,1025
68,68,8192,0,2047
69,69,8193,0,2048
123,123,10000,0,2049
124,124,16383,0,4095
125,125,16384,0,4096
126,126,16385,0,4097
127,127,20000,0,8191
128,128,32767,0,8192
129,129,32768,0,8193
130,130,32769,0,16383
131,131,65471,0,16384
132,132,65472,0,16385
133,133,65473,0,32767
251,251,65503,0,32768
252,252,65504,0,32769
253,253,65505,0,65471
254,254,65519,0,65472
255,255,65520,0,65473
0,0,65521,0,65503
1,2,65527,0,65504
2,3,65528,0,65505
3,4,65529,0,65519
4,5,65530,0,65520
5,6,65531,0,65521
6,7,65532,0,65527
7,8,65533,0,65528
8,9,65534,0,65529
9,10,65535,0,65530
10,11,0,0,65531
11,12,1,0,65532
12,13,2,0,65533
13,14,3,0,65534
14,15,4,0,65535
15,16,5,1,0
16,17,7,1,1
17,18,8,1,2
18,19,9,1,3
19,20,10,1,4
20,21,11,1,5
21,27,12,1,7
27,28,13,1,8
28,29,14,1,9
29,30,15,1,15
30,31,16,1,16
31,32,17,1,17
32,33,31,1,31
33,34,32,1,32
34,35,33,1,33
35,36,63,1,63
36,37,64,1,64
37,59,65,1,65
59,60,127,1,116
60,61,128,1,117
61,62,129,1,118
62,63,255,1,119
63,64,256,1,120
64,65,257,1,121
65,66,511,1,122
66,67,512,1,123
67,68,513,1,124
68,69,1023,1,125
69,123,1024,1,126
123,124,1025,1,127
124,125,2047,1,128
125,126,2048,1,129
126,127,2049,1,255
127,128,4095,1,256
128,129,4096,1,257
129,130,4097,1,511
130,131,8191,1,512
131,132,8192,1,513
132,133,8193,1,1023
133,251,10000,1,1024
251,252,16383,1,1025
252,253,16384,1,2047
253,254,16385,1,2048
254,255,20000,1,2049
255,0,32767,1,4095
0,1,32768,1,4096
1,3,32769,1,4097
2,4,65471,1,8191
3,5,65472,1,8192
4,6,65473,1,8193
5,7,65503,1,16383
6,8,65504,1,16384
7,9,65505,1,16385
8,10,65519,1,32767
9,11,65520,1,32768
10,12,65521,1,32769
11,13,65527,1,65471
12,14,65528,1,65472
13,15,65529,1,65473
14,2,65530,1,65503
15,17,65531,1,65504
16,18,65532,1,65505
17,19,65533,1,65519
18,20,65534,1,65520
19,21,65535,1,65521
20,27,0,1,65527
21,28,1,1,65528
27,29,2,1,65529
28,30,3,1,65530
29,31,4,1,65531
30,32,5,1,65532
31,33,7,1,65533
32,34,8,1,65534
33,35,9,1,65535
34,36,10,2,0
35,37,11,2,1
36,59,12,2,2
37,60,13,2,3
59,61,14,2,4
60,62,15,2,5
61,63,16,2,7
62,64,17,2,8
63,65,31,2,9
64,66,32,2,15
65,67,33,2,16
66,68,63,2,17
67,69,64,2,31
68,123,65,2,32
69,124,127,2,33
123,125,128,2,63
124,126,129,2,64
125,127,255,2,65
126,128,256,2,116
127,129,257,2,117
128,130,511,2,118
129,131,512,2,119
130,132,513,2,120
131,133,1023,2,121
132,251,1024,2,122
133,252,1025,2,123
251,253,2047,2,124
252,254,2048,2,125
253,255,2049,2,126
254,0,4095,2,127
255,1,4096,2,128
0,16,4097,2,129
1,17,8191,2,255
2,18,8192,2,256
3,19,8193,2,257
4,20,10000,2,511
5,21,16383,2,512
6,27,16384,2,513
7,28,16385,2,1023
8,29,20000,2,1024
9,30,32767,2,1025
10,31,32768,2,2047
11,32,32769,2,2048
12,33,65471,2,2049
13,34,65472,2,4095
14,35,65473,2,4096
15,2,65503,2,4097
16,3,65504,2,8191
17,4,65505,2,8192
18,5,65519,2,8193
19,6,65520,2,16383
20,7,65521,2,16384
21,8,65527,2,16385
27,9,65528,2,32767
28,10,65529,2,32768
29,11,65530,2,32769
30,12,65531,2,65471
31,13,65532,2,65472
32,14,65533,2,65473
33,15,65534,2,65503
34,16,65535,2,65504
35,59,0,2,65505
36,60,1,2,65519
37,61,2,2,65520
59,62,3,2,65521
60,63,4,2,65527
61,64,5,2,65528
62,65,7,2,65529
63,66,8,2,65530
64,67,9,2,65531
65,68,10,2,65532
66,69,11,2,65533
67,123,12,2,65534
68,124,13,2,65535
69,125,14,3,0
123,126,15,3,1
124,127,16,3,2
125,128,17,3,3
126,129,31,3,4
127,130,32,3,5
128,131,33,3,7
129,132,63,3,8
130,133,64,3,9
131,251,65,3,15
132,252,127,3,16
133,253,128,3,17
251,254,129,3,31
252,255,255,3,32
253,0,256,3,33
254,1,257,3,63
255,36,511,3,64
0,37,512,3,65
1,59,513,3,116
2,60,1023,3,117
3,61,1024,3,118
4,62,1025,3,119
5,63,2047,3,120
6,64,2048,3,121
7,65,2049,3,122
8,66,4095,3,123
9,67,4096,3,124
10,68,4097,3,125
11,69,8191,3,126
12,123,8192,3,127
13,124,8193,3,128
14,3,10000,3,129
15,4,16383,3,255
16,5,16384,3,256
17,6,16385,3,257
18,7,20000,3,511
19,8,32767,3,512
20,9,32768,3,513
21,10,32769,3,1023
27,11,65471,3,1024
28,12,65472,3,1025
29,13,65473,3,2047
30,14,65503,3,2048
31,15,65504,3,2049
32,16,65505,3,4095
33,17,65519,3,4096
34,18,65520,3,4097
35,19,65521,3,8191
36,20,65527,3,8192
37,21,65528,3,8193
59,27,65529,3,16383
60,28,65530,3,16384
61,29,65531,3,16385
62,30,65532,3,32767
63,31,65533,3,32768
64,32,65534,3,32769
65,33,65535,3,65471
66,34,0,3,65472
67,35,1,3,65473
68,36,2,3,65503
69,37,3,3,65504
123,2,4,3,65505
124,128,5,3,65519
125,129,7,3,65520
126,130,8,3,65521
127,131,9,3,65527
128,132,10,3,65528
129,133,11,3,65529
130,251,12,3,65530
131,252,13,3,65531
132,253,14,3,65532
133,254,15,3,65533
251,255,16,3,65534
252,0,17,3,65535
253,126,31,4,0
254,127,32,4,1
255,125,33,4,2
0,129,63,4,3
1,130,64,4,4
2,1,65,4,5
3,2,127,4,7
4,3,128,4,8
5,4,129,4,9
6,5,255,4,15
7,6,256,4,16
8,7,257,4,17
9,8,511,4,31
10,9,512,4,32
11,10,513,4,33
12,11,1023,4,63
13,12,1024,4,64
14,13,1025,4,65
15,14,2047,4,116
16,15,2048,4,117
17,16,2049,4,118
18,17,4095,4,119
19,18,4096,4,120
20,19,4097,4,121
21,20,8191,4,122
27,21,8192,4,123
28,27,8193,4,124
29,28,10000,4,125
30,29,16383,4,126
31,30,16384,4,127
32,31,16385,4,128
33,32,20000,4,129
34,33,32767,4,255
35,34,32768,4,256
36,35,32769,4,257
37,36,65471,4,511
59,37,65472,4,512
60,59,65473,4,513
61,60,65503,4,1023
62,61,65504,4,1024
63,62,65505,4,1025
64,63,65519,4,2047
65,64,65520,4,2048
66,65,65521,4,2049
67,66,65527,4,4095
68,67,65528,4,4096
69,68,65529,4,4097
123,69,65530,4,8191
124,123,65531,4,8192
125,124,65532,4,8193
126,131,65533,4,16383
127,132,65534,4,16384
128,133,65535,4,16385
129,251,0,4,32767
130,252,1,4,32768
131,253,2,4,32769
132,254,3,4,65471
133,255,4,4,65472
251,0,5,4,65473
252,128,7,4,65503
253,1,8,4,65504
254,125,9,4,65505
255,126,10,4,65519
0,127,11,4,65520
1,128,12,4,65521
2,129,13,4,65527
3,130,14,4,65528
4,131,15,4,65529
5,132,16,4,65530
6,133,17,4,65531
7,251,31,4,65532
8,252,32,4,65533
9,253,33,4,65534
10,254,63,4,65535
11,255,64,5,0
12,0,65,5,1
13,1,127,5,2
14,5,128,5,3
15,6,129,5,4
16,7,255,5,5
17,8,256,5,7
