FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	9999	4999	19999	29999
2	2	10000	5000	20000	30002
3	3	10080	5040	20160	30031
4	4	10240	5120	20480	30090
5	5	10752	5632	20992	30208
6	6	10880	5888	20996	30720
8	8	10944	5952	20998	30976
15	15	10976	5984		30992
16	16	10992	5992		30996
		10996	5996		30998
		10998	5998		
