0,1,1
1,3,1
2,5,1
3,7,1
4,9,1
5,11,1
6,13,1
7,15,1
8,17,1
9,19,1
15,20,1
16,21,1
17,27,1
30,28,1
31,29,1
32,30,1
33,31,1
34,32,1
61,33,1
62,34,1
63,35,1
64,36,1
65,37,1
111,59,1
112,60,1
113,61,1
114,62,1
115,63,1
116,64,1
117,65,1
118,66,1
119,67,1
120,68,1
121,69,1
122,123,1
123,124,1
124,125,1
125,126,1
126,127,1
127,128,1
128,129,1
129,130,1
130,131,1
131,132,1
132,133,1
133,251,1
134,252,1
251,253,1
252,254,1
253,255,1
254,0,1
255,2,1
256,4,1
257,6,1
258,8,1
259,10,1
260,12,1
261,14,1
507,16,1
508,18,1
509,19,1
510,20,1
511,21,1
512,27,1
513,28,1
514,29,1
515,30,1
516,31,1
517,32,1
1019,33,1
1020,34,1
1021,35,1
1022,36,1
1023,37,1
1024,59,1
1025,60,1
1026,61,1
1027,62,1
1028,63,1
1029,64,1
2043,65,1
2044,66,1
2045,67,1
2046,68,1
2047,69,1
2048,123,1
2049,124,1
2050,125,1
2051,126,1
2052,127,1
2053,128,1
4091,129,1
4092,130,1
4093,131,1
4094,132,1
4095,133,1
4096,251,1
4097,252,1
4098,253,1
4099,254,1
4100,255,1
4101,0,1
5000,1,1
8187,2,1
8188,3,1
8189,4,1
8190,5,1
8191,6,1
8192,7,1
8193,8,1
8194,9,1
8195,10,1
8196,11,1
8197,12,1
10000,13,1
16379,14,1
16380,15,1
16381,16,1
16382,17,1
16383,18,1
16384,19,1
16385,20,1
16386,21,1
16387,27,1
16388,28,1
16389,29,1
20000,30,1
32763,31,1
32764,32,1
32765,33,1
32766,34,1
32767,35,1
32768,36,1
32769,37,1
32770,59,1
32771,60,1
32772,61,1
32773,62,1
65530,63,1
65531,64,1
65532,65,1
65533,66,1
65534,67,1
65535,68,1
0,69,3
1,123,3
2,124,3
3,125,3
4,126,3
5,127,3
6,128,3
7,129,3
8,130,3
9,131,3
15,132,3
16,133,3
17,251,3
30,252,3
31,253,3
32,254,3
33,255,3
34,0,3
61,1,3
62,2,3
63,3,3
64,4,3
65,5,3
111,6,3
112,7,3
113,8,3
114,9,3
115,10,3
116,11,3
117,12,3
118,13,3
119,14,3
120,15,3
121,16,3
122,17,3
123,18,3
124,19,3
125,20,3
126,21,3
127,27,3
128,28,3
129,29,3
130,30,3
131,31,3
132,32,3
133,33,3
134,34,3
251,35,3
252,36,3
253,37,3
254,59,3
255,60,3
256,61,3
257,62,3
258,63,3
259,64,3
260,65,3
261,66,3
507,67,3
508,68,3
509,69,3
510,123,3
511,124,3
512,125,3
513,126,3
514,127,3
515,128,3
516,129,3
517,130,3
1019,131,3
1020,132,3
1021,133,3
1022,251,3
1023,252,3
1024,253,3
1025,254,3
1026,255,3
1027,0,3
1028,1,3
1029,2,3
2043,3,3
2044,4,3
2045,5,3
2046,6,3
2047,7,3
2048,8,3
2049,9,3
2050,10,3
2051,11,3
2052,12,3
2053,13,3
4091,14,3
4092,15,3
4093,16,3
4094,17,3
4095,18,3
4096,19,3
4097,20,3
4098,21,3
4099,27,3
4100,28,3
4101,29,3
5000,30,3
8187,31,3
8188,32,3
8189,33,3
8190,34,3
8191,35,3
8192,36,3
8193,37,3
8194,59,3
8195,60,3
8196,61,3
8197,62,3
10000,63,3
16379,64,3
16380,65,3
16381,66,3
16382,67,3
16383,68,3
16384,69,3
16385,123,3
16386,124,3
16387,125,3
16388,126,3
16389,127,3
20000,128,3
32763,129,3
32764,130,3
32765,131,3
32766,132,3
32767,133,3
32768,251,3
32769,252,3
32770,253,3
32771,254,3
32772,255,3
32773,0,3
65530,1,3
65531,2,3
65532,3,3
65533,4,3
65534,5,3
65535,6,3
0,7,5
1,8,5
2,9,5
3,10,5
4,11,5
5,12,5
6,14,5
7,16,5
8,18,5
9,13,5
15,15,5
16,17,5
17,19,5
30,20,5
31,21,5
32,27,5
33,28,5
34,29,5
61,30,5
62,31,5
63,32,5
64,33,5
65,34,5
111,35,5
112,36,5
113,37,5
114,59,5
115,60,5
116,61,5
117,62,5
118,63,5
119,64,5
120,65,5
121,66,5
122,67,5
123,68,5
124,69,5
125,123,5
126,124,5
127,125,5
128,126,5
129,127,5
130,128,5
131,129,5
132,130,5
133,131,5
134,132,5
251,133,5
252,251,5
253,252,5
254,253,5
255,254,5
256,255,5
257,0,5
258,1,5
259,2,5
260,3,5
261,4,5
507,5,5
508,6,5
509,7,5
510,8,5
511,9,5
512,10,5
513,11,5
514,12,5
515,13,5
516,14,5
517,15,5
1019,16,5
1020,17,5
1021,18,5
1022,19,5
1023,20,5
1024,21,5
1025,27,5
1026,28,5
1027,29,5
1028,30,5
1029,31,5
2043,32,5
2044,33,5
2045,34,5
2046,35,5
2047,36,5
2048,37,5
2049,59,5
2050,60,5
2051,61,5
2052,62,5
2053,63,5
4091,64,5
4092,65,5
4093,66,5
4094,67,5
4095,68,5
4096,69,5
4097,123,5
4098,124,5
4099,125,5
4100,126,5
4101,127,5
5000,128,5
8187,129,5
8188,130,5
8189,131,5
8190,132,5
8191,133,5
8192,251,5
8193,252,5
8194,253,5
8195,254,5
8196,255,5
8197,0,5
10000,1,5
16379,2,5
16380,3,5
16381,4,5
16382,5,5
16383,6,5
16384,7,5
16385,8,5
16386,9,5
16387,10,5
16388,11,5
16389,12,5
20000,13,5
32763,14,5
32764,15,5
32765,16,5
32766,17,5
32767,18,5
32768,19,5
32769,20,5
32770,21,5
32771,27,5
32772,28,5
32773,29,5
65530,30,5
65531,31,5
65532,32,5
65533,33,5
65534,34,5
65535,35,5
0,36,7
1,37,7
2,59,7
3,60,7
4,61,7
5,62,7
6,63,7
7,64,7
8,65,7
9,66,7
15,67,7
16,68,7
17,69,7
30,123,7
31,124,7
32,125,7
33,126,7
34,127,7
61,128,7
62,129,7
63,130,7
64,131,7
65,132,7
111,133,7
112,251,7
113,252,7
114,253,7
115,254,7
116,255,7
117,0,7
118,1,7
119,2,7
120,3,7
121,4,7
122,5,7
123,6,7
124,7,7
125,8,7
126,9,7
127,10,7
128,11,7
129,12,7
130,13,7
131,14,7
132,15,7
133,16,7
134,17,7
251,18,7
252,19,7
253,20,7
254,21,7
255,27,7
256,28,7
257,29,7
258,30,7
259,31,7
260,32,7
261,33,7
507,34,7
508,35,7
509,36,7
510,37,7
511,59,7
512,60,7
513,61,7
514,62,7
515,63,7
516,64,7
517,65,7
1019,66,7
1020,67,7
1021,68,7
1022,69,7
1023,123,7
1024,124,7
1025,125,7
1026,126,7
1027,127,7
1028,128,7
1029,129,7
2043,130,7
2044,131,7
2045,132,7
2046,133,7
2047,251,7
2048,252,7
2049,253,7
2050,254,7
2051,255,7
2052,0,7
2053,1,7
4091,2,7
4092,3,7
4093,4,7
4094,5,7
4095,6,7
4096,7,7
4097,8,7
4098,9,7
4099,10,7
4100,11,7
4101,12,7
5000,13,7
8187,14,7
8188,15,7
8189,16,7
8190,17,7
8191,18,7
8192,19,7
8193,20,7
8194,21,7
8195,27,7
8196,28,7
8197,29,7
10000,30,7
16379,31,7
16380,32,7
16381,33,7
16382,34,7
16383,35,7
16384,36,7
16385,37,7
16386,59,7
16387,60,7
16388,61,7
16389,62,7
20000,63,7
32763,64,7
32764,65,7
32765,66,7
32766,67,7
32767,68,7
32768,69,7
32769,123,7
32770,124,7
32771,125,7
32772,126,7
32773,127,7
65530,128,7
65531,129,7
65532,130,7
65533,131,7
65534,132,7
65535,133,7
0,251,9
1,252,9
2,253,9
3,254,9
4,255,9
5,0,9
6,1,9
7,2,9
8,3,9
9,4,9
15,5,9
16,6,9
17,7,9
30,8,9
31,9,9
32,10,9
33,11,9
34,12,9
61,13,9
62,14,9
63,15,9
64,16,9
65,17,9
111,18,9
112,19,9
113,20,9
114,21,9
115,27,9
116,28,9
117,29,9
118,30,9
119,31,9
120,32,9
121,33,9
122,34,9
123,35,9
124,36,9
125,37,9
126,59,9
127,60,9
128,61,9
129,62,9
130,63,9
131,64,9
132,65,9
133,66,9
134,67,9
251,68,9
252,69,9
253,123,9
254,124,9
255,125,9
256,126,9
257,127,9
258,128,9
259,129,9
260,130,9
261,131,9
507,132,9
508,133,9
509,251,9
510,252,9
511,253,9
512,254,9
513,255,9
514,0,9
515,1,9
516,2,9
517,3,9
1019,4,9
1020,5,9
1021,6,9
1022,7,9
1023,8,9
1024,9,9
1025,10,9
1026,11,9
1027,12,9
1028,13,9
1029,14,9
2043,15,9
2044,16,9
2045,17,9
2046,18,9
2047,19,9
2048,20,9
2049,21,9
2050,27,9
2051,28,9
2052,29,9
2053,30,9
4091,31,9
4092,32,9
4093,33,9
4094,34,9
4095,35,9
4096,36,9
4097,37,9
4098,59,9
4099,60,9
4100,61,9
4101,62,9
5000,63,9
8187,64,9
8188,65,9
8189,66,9
8190,67,9
8191,68,9
8192,69,9
8193,123,9
8194,124,9
8195,125,9
8196,126,9
8197,127,9
10000,128,9
16379,129,9
16380,130,9
16381,131,9
16382,132,9
16383,133,9
16384,251,9
16385,252,9
16386,253,9
16387,254,9
16388,255,9
16389,0,9
20000,1,9
32763,2,9
32764,3,9
32765,4,9
32766,5,9
32767,6,9
32768,7,9
32769,8,9
32770,9,9
32771,10,9
32772,11,9
32773,12,9
65530,13,9
65531,14,9
65532,15,9
65533,16,9
65534,17,9
65535,18,9
0,19,11
1,20,11
2,21,11
3,27,11
4,28,11
5,29,11
6,30,11
7,31,11
8,32,11
9,33,11
15,34,11
16,35,11
17,36,11
30,37,11
31,59,11
32,60,11
33,61,11
34,62,11
61,63,11
62,64,11
63,65,11
64,66,11
65,67,11
111,68,11
112,69,11
113,123,11
114,124,11
115,125,11
116,126,11
117,127,11
118,128,11
119,129,11
120,130,11
121,131,11
122,132,11
123,133,11
124,251,11
125,252,11
126,253,11
127,255,11
128,0,11
129,1,11
130,2,11
131,3,11
132,4,11
133,5,11
134,6,11
251,7,11
252,8,11
253,9,11
254,10,11
255,11,11
256,12,11
257,13,11
258,14,11
259,15,11
260,16,11
261,17,11
507,18,11
508,254,11
509,255,11
510,0,11
511,1,11
512,2,11
513,3,11
514,4,11
515,5,11
516,6,11
517,7,11
1019,8,11
1020,9,11
1021,10,11
1022,11,11
1023,12,11
1024,13,11
1025,14,11
1026,15,11
1027,16,11
1028,17,11
1029,18,11
2043,19,11
2044,20,11
2045,21,11
2046,27,11
2047,28,11
2048,29,11
2049,30,11
2050,31,11
2051,32,11
2052,33,11
2053,34,11
4091,35,11
4092,36,11
4093,37,11
4094,59,11
4095,60,11
4096,61,11
4097,62,11
4098,63,11
4099,64,11
4100,65,11
4101,66,11
5000,67,11
8187,68,11
8188,69,11
8189,123,11
8190,124,11
8191,125,11
8192,126,11
8193,127,11
8194,128,11
8195,129,11
8196,130,11
8197,131,11
10000,132,11
16379,133,11
16380,251,11
16381,252,11
16382,253,11
16383,254,11
16384,255,11
16385,0,11
16386,1,11
16387,2,11
16388,3,11
16389,4,11
20000,5,11
32763,6,11
32764,7,11
32765,8,11
32766,9,11
32767,10,11
32768,11,11
32769,12,11
32770,13,11
32771,14,11
32772,15,11
32773,16,11
65530,17,11
65531,18,11
65532,19,11
65533,20,11
65534,21,11
65535,27,11
0,28,13
1,29,13
2,30,13
3,31,13
4,32,13
5,33,13
6,34,13
7,35,13
8,36,13
9,37,13
15,59,13
16,60,13
17,61,13
30,62,13
31,63,13
32,65,13
33,67,13
34,69,13
61,123,13
62,125,13
63,127,13
64,129,13
65,131,13
111,132,13
112,133,13
113,251,13
114,252,13
115,253,13
116,254,13
117,64,13
118,68,13
119,124,13
120,126,13
121,128,13
122,130,13
123,66,13
124,255,13
125,0,13
126,1,13
127,2,13
128,3,13
129,4,13
130,5,13
131,6,13
132,7,13
133,8,13
134,9,13
251,10,13
252,11,13
253,12,13
254,13,13
255,14,13
256,15,13
257,16,13
258,17,13
259,18,13
260,19,13
261,20,13
507,21,13
508,27,13
509,28,13
510,29,13
511,30,13
512,31,13
513,32,13
514,33,13
515,34,13
516,35,13
517,36,13
1019,37,13
1020,59,13
1021,60,13
1022,61,13
1023,62,13
1024,63,13
1025,64,13
1026,65,13
1027,66,13
1028,67,13
1029,68,13
2043,69,13
2044,123,13
2045,124,13
2046,125,13
2047,126,13
2048,127,13
2049,128,13
2050,129,13
2051,130,13
2052,131,13
2053,132,13
4091,133,13
4092,251,13
4093,252,13
4094,253,13
4095,254,13
4096,255,13
4097,0,13
4098,1,13
4099,2,13
4100,3,13
4101,4,13
5000,5,13
8187,6,13
8188,7,13
8189,8,13
8190,9,13
8191,10,13
8192,11,13
8193,12,13
8194,13,13
8195,14,13
8196,15,13
8197,16,13
