FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	2	0	0
2	2	512	3	512	512
3	3	1024	4	1024	576
4	4	1536	6	1536	584
6	5	2048	8	2048	588
	6	2560	12	2560	590
	15	3072	16	3072	591
	16	3584	24	3584	
	17	3840	32	4096	
	23	3968	48	4608	
		3984	64	5120	
		3992	96	5632	
		3996	128	6144	
		3998	192	6656	
		3999	256	7168	
			384	7680	
			512	8192	
			1024	8704	
			1536	9216	
			1792	9728	
			1920	9984	
			1984	9992	
			2016	9996	
			2032	9998	
			2040	9999	
			2044		
			2046		
			2047		
