FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	128	256	512
3	3	1024	192	384	1024
4	4	1536	224	448	1536
6	5	1792	240	480	2048
	6	1920	248	496	2560
	11	1984	252	504	3072
	15	1992	254	508	3584
	16	1996	255	510	4096
	17	1998		511	4608
	21	1999			4864
	23				4992
	43				4996
					4998
					4999
