FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	16384	4096	8192	8192
3	3	32768	6144	9216	12288
4	4	40960	7168	9728	14336
5	5	43008	7680	9856	15360
6	6	44032	7936	9920	15872
7	7	44544	8064	9928	15936
8	8	44800	8128	9932	15968
11	11	44928	8160	9934	15984
12	12	44932	8176	9935	15992
17	15	44934	8184		15996
20	16	44935	8188		15998
21	17		8189		
	20				
	21				
	22				
	23				
	24				
	43				
