"Address 0x 	 Value READ_COILS"	
(3801, 3900)	bytearray(b'\x03\x00\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(3901, 4000)	bytearray(b'\x03\x01\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4001, 4100)	bytearray(b'\x03\x02\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4101, 4200)	bytearray(b'\x03\x03\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4201, 4300)	bytearray(b'\x03\x04\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4301, 4400)	bytearray(b'\x03\x05\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4401, 4500)	bytearray(b'\x03\x06\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4501, 4600)	bytearray(b'\x03\x07\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4601, 4700)	bytearray(b'\x03\x08\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4701, 4800)	bytearray(b'\x03\t\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4801, 4900)	bytearray(b'\x03\n\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(4901, 5000)	bytearray(b'\x03\x0b\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5001, 5100)	bytearray(b'\x03\x0c\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5101, 5200)	bytearray(b'\x03\r\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5201, 5300)	bytearray(b'\x03\x0e\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5301, 5400)	bytearray(b'\x03\x0f\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5401, 5500)	bytearray(b'\x03\x10\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5501, 5600)	bytearray(b'\x03\x11\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5601, 5700)	bytearray(b'\x03\x12\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5701, 5800)	bytearray(b'\x03\x13\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5801, 5900)	bytearray(b'\x03\x14\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(5901, 6000)	bytearray(b'\x03\x15\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6001, 6100)	bytearray(b'\x03\x16\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6101, 6200)	bytearray(b'\x03\x17\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6201, 6300)	bytearray(b'\x03\x18\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6301, 6400)	bytearray(b'\x03\x19\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6401, 6500)	bytearray(b'\x03\x1a\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6501, 6600)	bytearray(b'\x03\x1b\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6601, 6700)	bytearray(b'\x03\x1c\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6701, 6800)	bytearray(b'\x03\x1d\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6801, 6900)	bytearray(b'\x03\x1e\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(6901, 7000)	bytearray(b'\x03\x1f\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7001, 7100)	bytearray(b'\x03 \x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7101, 7200)	bytearray(b'\x03!\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7201, 7300)	"bytearray(b'\x03""\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')"
(7301, 7400)	bytearray(b'\x03#\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7401, 7500)	bytearray(b'\x03$\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7501, 7600)	bytearray(b'\x03%\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7601, 7700)	bytearray(b'\x03&\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7701, 7800)	"bytearray(b""\x03\'\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"")"
(7801, 7900)	bytearray(b'\x03(\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(7901, 8000)	bytearray(b'\x03)\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8001, 8100)	bytearray(b'\x03*\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8101, 8200)	bytearray(b'\x03+\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8201, 8300)	bytearray(b'\x03,\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8301, 8400)	bytearray(b'\x03-\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8401, 8500)	bytearray(b'\x03.\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8501, 8600)	bytearray(b'\x03/\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8601, 8700)	bytearray(b'\x030\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8701, 8800)	bytearray(b'\x031\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8801, 8900)	bytearray(b'\x032\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(8901, 9000)	bytearray(b'\x033\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(9001, 9100)	bytearray(b'\x034\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(9101, 9200)	bytearray(b'\x035\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(9201, 9300)	bytearray(b'\x036\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(9301, 9400)	bytearray(b'\x037\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(9401, 9500)	bytearray(b'\x038\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
