FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	4095	1799	1999	1023
2	2	4096	1800	2000	1024
3	3	4608	1808	2016	1536
4	4	5120	1824	2048	2048
6	5	5632	1856	2560	2560
22	6	6144	1920	3072	2816
	15	6656	2048	3584	2944
	16	7168	2560	4096	3008
	22	7680	3072	4608	3040
	23	8192	3584	5120	3056
		8704	4096	5632	3064
		8960	4608	6144	3068
		9088	5120	6656	3070
		9092	5632	7168	
		9094	6144	7680	
			6656	8192	
			7168	8704	
			7680	9216	
			8192	9728	
			8704	9984	
			9216	10112	
			9728	10176	
			10240	10184	
			10752	10188	
			11264	10190	
			11776		
			11792		
			11796		
			11798		
