"Address 0x 	 Value READ_COILS"	
(1, 100)	bytearray(b'\x05\x12\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(101, 200)	bytearray(b'\x05\x13\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(201, 300)	bytearray(b'\x05\x14\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(301, 400)	bytearray(b'\x05\x15\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(401, 500)	bytearray(b'\x05\x16\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(501, 600)	bytearray(b'\x05\x17\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(601, 700)	bytearray(b'\x05\x18\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(701, 800)	bytearray(b'\x05\x19\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(801, 900)	bytearray(b'\x05\x1a\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(901, 999)	bytearray(b'\x05\x1b\x00\x00\x00\x10\x01\x01\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
"Address 1x 	 Value READ_DISCRETE_INPUTS "	
(1, 100)	bytearray(b'\x05\x1c\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(101, 200)	bytearray(b'\x05\x1d\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(201, 300)	bytearray(b'\x05\x1e\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(301, 400)	bytearray(b'\x05\x1f\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(401, 500)	bytearray(b'\x05 \x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(501, 600)	bytearray(b'\x05!\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(601, 700)	"bytearray(b'\x05""\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')"
(701, 800)	bytearray(b'\x05#\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(801, 900)	bytearray(b'\x05$\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
(901, 999)	bytearray(b'\x05%\x00\x00\x00\x10\x01\x02\r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00')
"Address 3x 	 Value READ_INPUT_REGISTERS "	
